config,model,encoder,scaler,selector,accuracy,precision,recall,f1,best_params,auc_roc
RandomForest_onehot_standard_variance,RandomForest,onehot,standard,variance,0.9992902767920511,0.9992910278219008,0.9992902767920511,0.9992885040875608,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
XGBoost_onehot_standard_variance,XGBoost,onehot,standard,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_standard_variance,LightGBM,onehot,standard,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
LightGBM_onehot_standard_mutual_info,LightGBM,onehot,standard,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
XGBoost_onehot_standard_none,XGBoost,onehot,standard,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
XGBoost_onehot_standard_mutual_info,XGBoost,onehot,standard,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_standard_none,LightGBM,onehot,standard,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
XGBoost_onehot_minmax_mutual_info,XGBoost,onehot,minmax,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_minmax_mutual_info,LightGBM,onehot,minmax,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
LightGBM_onehot_minmax_variance,LightGBM,onehot,minmax,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
XGBoost_onehot_minmax_variance,XGBoost,onehot,minmax,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
RandomForest_onehot_minmax_variance,RandomForest,onehot,minmax,variance,0.9992902767920511,0.9992910278219008,0.9992902767920511,0.9992885040875608,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
LightGBM_onehot_none_variance,LightGBM,onehot,none,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
RandomForest_onehot_none_variance,RandomForest,onehot,none,variance,0.9992902767920511,0.9992910278219008,0.9992902767920511,0.9992885040875608,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
RandomForest_target_standard_variance,RandomForest,target,standard,variance,0.9850958126330731,0.9878903477643719,0.9850958126330731,0.9856514589486071,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
RandomForest_target_standard_mutual_info,RandomForest,target,standard,mutual_info,0.9921930447125621,0.9930349712631682,0.9921930447125621,0.9923572618526274,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
LightGBM_onehot_none_none,LightGBM,onehot,none,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
XGBoost_onehot_none_variance,XGBoost,onehot,none,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
XGBoost_onehot_minmax_none,XGBoost,onehot,minmax,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_minmax_none,LightGBM,onehot,minmax,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
XGBoost_onehot_none_mutual_info,XGBoost,onehot,none,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
XGBoost_onehot_none_none,XGBoost,onehot,none,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",1.0
LightGBM_onehot_none_mutual_info,LightGBM,onehot,none,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
RandomForest_target_none_none,RandomForest,target,none,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
RandomForest_target_minmax_mutual_info,RandomForest,target,minmax,mutual_info,0.9723207948899929,0.9795700696276298,0.9723207948899929,0.9736708440311381,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
RandomForest_target_minmax_none,RandomForest,target,minmax,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
RandomForest_target_minmax_variance,RandomForest,target,minmax,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
RandomForest_target_standard_none,RandomForest,target,standard,none,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
RandomForest_target_none_variance,RandomForest,target,none,variance,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
LightGBM_target_none_variance,LightGBM,target,none,variance,0.9013484740951029,0.9609683093158884,0.9013484740951029,0.9140691550801617,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",1.0
RandomForest_target_none_mutual_info,RandomForest,target,none,mutual_info,1.0,1.0,1.0,1.0,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",1.0
LightGBM_target_minmax_variance,LightGBM,target,minmax,variance,0.8999290276792051,0.9607480237879641,0.8999290276792051,0.912972177110084,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",0.999962110448044
LightGBM_target_standard_variance,LightGBM,target,standard,variance,0.8992193044712562,0.9606392991711773,0.8992193044712562,0.9124983251341815,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",0.9999457490506084
XGBoost_target_none_none,XGBoost,target,none,none,0.9119943222143364,0.9627510852163006,0.9119943222143364,0.9215375139404828,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",0.9999199152651839
XGBoost_target_minmax_none,XGBoost,target,minmax,none,0.9119943222143364,0.9627510852163006,0.9119943222143364,0.9215375139404828,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",0.9999199152651839
XGBoost_target_none_mutual_info,XGBoost,target,none,mutual_info,0.9119943222143364,0.9627510852163006,0.9119943222143364,0.9215375139404828,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",0.9999199152651839
XGBoost_target_standard_mutual_info,XGBoost,target,standard,mutual_info,0.9119943222143364,0.9627510852163006,0.9119943222143364,0.9215375139404828,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",0.9999199152651839
XGBoost_target_minmax_mutual_info,XGBoost,target,minmax,mutual_info,0.9119943222143364,0.9627510852163006,0.9119943222143364,0.9215375139404828,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",0.9999199152651839
XGBoost_target_standard_none,XGBoost,target,standard,none,0.9119943222143364,0.9627510852163006,0.9119943222143364,0.9215375139404828,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__max_depth': 8, 'classifier__subsample': 0.8394633936788146, 'classifier__colsample_bytree': 0.6624074561769746, 'classifier__reg_alpha': 1.7699302940633311e-07, 'classifier__reg_lambda': 2.9152036385288193e-08, 'classifier__gamma': 0.08499808989182997, 'classifier__use_label_encoder': False, 'classifier__eval_metric': 'mlogloss', 'classifier__objective': 'multi:softprob', 'classifier__scale_pos_weight': 1, 'classifier__tree_method': 'hist', 'classifier__random_state': 42}",0.9999199152651839
RandomForest_onehot_standard_mutual_info,RandomForest,onehot,standard,mutual_info,0.978708303761533,0.9801899400048155,0.978708303761533,0.9790655734668945,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9984433770231839
LightGBM_target_standard_mutual_info,LightGBM,target,standard,mutual_info,0.8779276082327893,0.9577620241413833,0.8779276082327893,0.8983951106866066,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",0.99841434472043
LightGBM_target_standard_none,LightGBM,target,standard,none,0.8779276082327893,0.9577620241413833,0.8779276082327893,0.8983951106866066,"{'classifier__n_estimators': 437, 'classifier__learning_rate': 0.2536999076681772, 'classifier__num_leaves': 152, 'classifier__max_depth': 8, 'classifier__min_child_samples': 21, 'classifier__subsample': 0.662397808134481, 'classifier__colsample_bytree': 0.6232334448672797, 'classifier__reg_alpha': 0.08499808989182997, 'classifier__reg_lambda': 0.0006440507553993703, 'classifier__class_weight': 'balanced', 'classifier__objective': 'multiclass', 'classifier__metric': 'multi_logloss', 'classifier__n_jobs': -1, 'classifier__random_state': 42}",0.99841434472043
LogisticRegression_target_standard_variance,LogisticRegression,target,standard,variance,0.9467707594038325,0.9693620792460115,0.9467707594038325,0.9531997075600915,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9983775359270252
LogisticRegression_target_standard_mutual_info,LogisticRegression,target,standard,mutual_info,0.9467707594038325,0.9693620792460115,0.9467707594038325,0.9531997075600915,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9983606023759665
LogisticRegression_target_standard_none,LogisticRegression,target,standard,none,0.9467707594038325,0.9693620792460115,0.9467707594038325,0.9531997075600915,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9983606023759665
RandomForest_onehot_none_mutual_info,RandomForest,onehot,none,mutual_info,0.9730305180979418,0.975760342948445,0.9730305180979418,0.973714172879225,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9979679420246897
LogisticRegression_onehot_standard_variance,LogisticRegression,onehot,standard,variance,0.9488999290276792,0.9700368032481805,0.9488999290276792,0.9548949219694428,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9979349391800306
LogisticRegression_onehot_standard_mutual_info,LogisticRegression,onehot,standard,mutual_info,0.950319375443577,0.9697986758771118,0.950319375443577,0.9559103058065805,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9977969652625406
LogisticRegression_onehot_standard_none,LogisticRegression,onehot,standard,none,0.950319375443577,0.9697986758771118,0.950319375443577,0.9559103058065805,"{'classifier__C': 0.0745934328572655, 'classifier__solver': 'lbfgs', 'classifier__max_iter': 1000, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': 1}",0.9977969652625406
RandomForest_onehot_minmax_mutual_info,RandomForest,onehot,minmax,mutual_info,0.9730305180979418,0.975544446333218,0.9730305180979418,0.9736622046307535,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9976663012961815
RandomForest_onehot_none_none,RandomForest,onehot,none,none,0.9737402413058907,0.9775614806926303,0.9737402413058907,0.9747348401396905,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9976117751294944
RandomForest_onehot_standard_none,RandomForest,onehot,standard,none,0.9772888573456352,0.9791851697069135,0.9772888573456352,0.9777634198900005,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9975068703782978
RandomForest_onehot_minmax_none,RandomForest,onehot,minmax,none,0.9638041163946061,0.9673698601695797,0.9638041163946061,0.9646570308883883,"{'classifier__n_estimators': 250, 'classifier__max_depth': 20, 'classifier__min_samples_split': 12, 'classifier__class_weight': 'balanced', 'classifier__n_jobs': -1}",0.9971320806519417
